2023-02-16 10:42:14,350 Number: 5
2023-02-16 10:42:15,048 Number: 5
2023-02-16 10:42:15,656 Number: 5
2023-02-16 10:42:16,215 Number: 5
2023-02-16 10:42:16,759 Number: 5
2023-02-16 10:42:20,346 Number: stop
2023-02-16 10:44:43,011 Number: 1
2023-02-16 10:44:43,775 Number: 2
2023-02-16 10:44:44,343 Number: 3
2023-02-16 10:44:45,091 Number: 4
2023-02-16 10:44:45,682 Number: 5
2023-02-16 10:44:47,143 Number: 67
2023-02-16 10:44:47,776 Number: 8
2023-02-16 10:44:52,948 Number: 9.
2023-02-16 10:44:52,948 result = 90
2023-02-16 10:45:00,287 Number: 1
2023-02-16 10:45:01,121 Number: 2
2023-02-16 10:45:02,994 Number: 34
2023-02-16 10:45:03,759 Number: 5
2023-02-16 10:45:05,279 Number: 6
2023-02-16 10:45:06,811 Number: 7
2023-02-16 10:45:07,589 Number: 8
2023-02-16 10:45:08,269 Number: 9
2023-02-16 10:45:11,980 Number: stop
2023-02-16 10:45:11,980 result = 72
